Full Date,Month,Day,Hour,Minute,Radon,2-Sigma Uncert.,Run #,Cycle #,C/A Count,Mode,Calculated Radon,2-Sigma Uncert.,Calculated Thoron,2-Sigma Uncert.,Meaningful Thoron Threshold (Air),Total Counts,Total Counts,Total Counts,Total Counts,Total Counts,Avg. CPM,Avg. CPM,Avg. CPM,Avg. CPM,Avg. CPM,,,,,,[Bq/m3],[Bq/m3],,,Ratio,,[Bq/m3],[Bq/m3],[Bq/m3],[Bq/m3],[Bq/m3],(A),(B),(C),(D),(Other),(A),(B),(C),(D),(Other),

09/29/18 00:12, 09, 29, 00, 12,23.88882,22.09598,01,26,0,800,Thoron,23,9,22,,0,00,0,0,3,97,5,0,4,0,1,0,177,0,00,0,142,0,00,0,0355,
09/29/18 00:42, 09, 29, 00, 42,15.91181,19.33684,01,27,2,00,Thoron,15,9,19,,21,8,60,,4,14,2,2,4,0,1,0,0706,0,0706,0,142,0,00,0,0353,
09/29/18 01:12, 09, 29, 01, 12,15.92588,19.35393,01,28,1,00,Thoron,15,9,19,,0,00,0,0,3,44,3,0,3,0,1,0,106,0,00,0,106,0,00,0,0352,
09/29/18 01:42, 09, 29, 01, 42,7.96294,15.92588,01,29,2,00,Thoron,7,96,16,,0,00,0,0,2,81,1,0,2,0,2,0,0355,0,00,0,0709,0,00,0,0709,
09/29/18 02:12, 09, 29, 02, 12,18.56378,21.21575,01,30,1,67,Thoron,18,6,20,,0,00,0,0,4,42,3,0,5,1,0,0,106,0,00,0,177,0,0353,0,00,
09/29/18 02:42, 09, 29, 02, 42,23.88882,22.09598,01,31,0,800,Thoron,23,9,22,,0,00,0,0,3,97,5,0,4,0,0,0,177,0,00,0,142,0,00,0,00,
09/29/18 03:12, 09, 29, 03, 12,13.27157,18.31206,01,32,1,50,Thoron,13,3,18,,0,00,0,0,3,44,2,0,3,0,2,0,0710,0,00,0,106,0,00,0,0707,
09/29/18 03:42, 09, 29, 03, 42,15.92588,19.35393,01,33,1,00,Thoron,15,9,19,,0,00,0,0,3,44,3,0,3,0,1,0,106,0,00,0,106,0,00,0,0352,
09/29/18 04:12, 09, 29, 04, 12,21.2533,21.2533,01,34,0,599,Thoron,21,3,21,,10,9,55,,3,63,5,1,3,0,0,0,177,0,0354,0,106,0,00,0,00,
09/29/18 04:42, 09, 29, 04, 42,10.62665,17.19428,01,35,0,333,Thoron,10,6,20,,0,00,0,0,1,98,3,0,1,1,0,0,106,0,00,0,0355,0,0355,0,00,
09/29/18 05:12, 09, 29, 05, 12,13.28331,18.32826,01,36,0,250,Thoron,13,3,18,,0,00,0,0,1,98,4,0,1,0,2,0,142,0,00,0,0355,0,00,0,0707,
09/29/18 05:42, 09, 29, 05, 42,23.90996,22.11553,01,37,2,00,Thoron,23,9,22,,0,00,0,0,4,86,3,0,6,0,3,0,106,0,00,0,213,0,00,0,106,
09/29/18 06:12, 09, 29, 06, 12,18.59664,20.34167,01,38,2,50,Thoron,18,6,22,,10,9,57,,4,84,2,1,5,1,1,0,0709,0,0355,0,177,0,0355,0,0355,
09/29/18 06:42, 09, 29, 06, 42,23.90996,22.11553,01,39,1,25,Thoron,23,9,22,,0,00,0,0,4,44,4,0,5,0,0,0,142,0,00,0,177,0,00,0,00,
09/29/18 07:12, 09, 29, 07, 12,13.28331,18.32826,01,40,1,50,Thoron,13,3,21,,0,00,0,0,3,44,2,0,3,1,0,0,0709,0,00,0,106,0,0355,0,00,
